feature,importance
actual_return_delay_minutes,0.15642793
destination_risk,0.15171155
weekend_request,0.14828914
previous_no_show,0.12639767
group_request,0.103083156
parent_response_time_minutes,0.09880407
past_violations_30d,0.038416132
emergency_flag,0.025667554
gpa,0.01816697
past_violations_365d,0.016491447
request_time_hour,0.016480366
requested_duration_hours,0.016070034
requests_last_7days,0.01524519
hostel_block,0.015178959
parent_action,0.013756058
year,0.013589112
parent_contact_reliable,0.013123394
age,0.013101278
